country,region,month,political_stability_index,gdp_growth_pct,inflation_rate,unemployment_rate,food_price_index,energy_dependency_pct,military_expenditure_pct_gdp,arms_imports_index,border_disputes_count,refugee_outflow_thousands,sanctions_active,media_freedom_score,protest_events_last_3m,cyber_attack_incidents,last_conflict_year,trade_dependency_rival_pct,foreign_troops_present,election_cycle,regime_type,social_media_sentiment,rolling_protest_avg_6m,instability_score,conflict_escalation_6m
USA,North America,2020-01,0.496714153,6.737638447,5.308678494,9.069738917,108.2631404,60.85120087,2.536582307,28.35675616,3,52.66661919,0,45.99096316,3,7,2018,22.21078961,1,0,Democracy,-0.907099175,2.144414173,52.43613113,0
USA,North America,2020-02,-1.150993577,4.467634736,7.878490092,1.1166254,125.2215899,10.80659752,1.671813951,44.9215309,1,76.23659793,0,79.92182528,8,5,0,48.2527411,0,0,Democracy,-0.457301936,9.763522078,98.47405966,1
USA,North America,2020-03,-0.460638771,-0.030766001,11.28561113,8.446705155,145.7749881,68.62560238,2.160782477,32.2696906,0,130.9783947,0,24.13129277,4,8,2018,31.60840045,1,0,Hybrid,0.122486852,6.199293952,80.75550878,1
USA,North America,2020-04,0.326845224,0.155372722,5.594405229,7.331569762,85.48207439,44.38387417,2.940182736,64.02934416,4,158.4238989,0,36.20399489,4,9,2021,47.42841068,0,0,Hybrid,0.389569866,4.038000662,58.1763818,0
USA,North America,2020-05,0.293059246,0.755706097,10.48315192,0.405036474,111.3979865,65.01571771,2.672374817,18.46004864,5,19.20437808,0,47.76200626,2,9,2018,17.12355502,1,0,Hybrid,-0.663417916,1.264348552,60.71859739,0
USA,North America,2020-06,0.301322801,4.453620537,1.292584605,1.781582122,101.041822,59.14831297,2.935621949,48.62255838,4,198.4419288,0,64.24585435,2,10,2021,8.638399685,1,0,Hybrid,-0.515680123,-0.852957769,49.52464551,0
USA,North America,2020-07,-0.137291004,4.662534843,13.00660782,8.421932523,101.9925502,44.60132462,2.85653777,55.42509439,1,107.8374967,0,67.78904775,8,7,2014,16.60737325,1,0,Authoritarian,0.964336687,9.852912717,84.35374946,1
USA,North America,2020-08,-1.710529579,2.326135399,6.594892459,6.423054588,143.0166679,45.46555089,3.653048311,67.56718664,5,70.97996144,0,64.97318785,7,11,0,5.813391363,1,0,Democracy,-0.642354582,4.566290215,106.1244625,1
USA,North America,2020-09,1.343168212,3.902720889,2.32726175,18.24438086,87.03574598,64.40774484,3.315890907,41.4820321,2,83.20289592,0,71.66273473,1,10,0,13.78593445,0,0,Hybrid,0.144008398,2.654366498,27.92934985,0
USA,North America,2020-10,-0.01158332,-0.848557136,6.952993526,3.612410674,117.2199,15.01861132,1.658596502,0.542365524,5,125.6089926,0,26.3164721,8,6,2014,19.51478439,1,0,Democracy,-0.726757337,11.52587494,74.57525863,0
USA,North America,2020-11,0.449774038,-1.549796864,14.89462172,7.979982617,115.8672596,36.25649649,3.068351251,29.76477924,5,59.60950448,0,83.81965774,3,7,2018,10.71772307,0,0,Democracy,-0.456914168,2.089933652,64.87806529,0
USA,North America,2020-12,-0.047643711,1.678416575,8.593472289,4.055130857,159.8245449,41.32116802,2.267307799,25.54307715,5,110.5984735,0,46.58194139,5,6,2014,15.79043116,1,0,Democracy,0.320394753,6.731510388,71.26504097,0
USA,North America,2021-01,0.377296265,3.331458284,14.25675493,9.098536214,96.82673821,48.80949288,0.24126734,14.39030897,0,303.5734588,0,23.12383007,4,7,2018,27.64113164,0,0,Democracy,0.367927539,3.003186755,67.56218061,0
USA,North America,2021-02,0.567768368,3.443653185,6.740908657,7.868228691,148.4254355,58.9378029,1.85505148,54.78290292,4,8.371931926,0,40.73341597,6,14,2014,16.73125377,0,0,Authoritarian,0.393474331,6.415196523,58.73372303,0
USA,North America,2021-03,0.899599875,4.241880815,7.536497604,8.441481062,119.4774602,52.34654767,4.277664896,25.21071528,5,134.0878142,0,64.18991069,3,12,0,29.04473631,1,0,Democracy,-0.359900798,3.726139207,47.05179962,0
USA,North America,2021-04,-0.239224798,2.972499057,10.26987356,5.479427783,122.4248991,61.90314051,2.181779317,92.30968189,2,184.8250138,0,33.82731318,2,10,2021,35.96135046,1,0,Democracy,-0.797754648,6.286410376,71.10834422,0
USA,North America,2021-05,0.244966571,-2.344253024,3.465284123,0.370144902,102.0388945,45.73105697,3.310907566,76.88390542,2,45.00639744,0,48.23936989,3,7,2014,38.34382374,1,0,Democracy,0.645580704,0.656046291,55.25900953,0
USA,North America,2021-06,0.840171159,2.172238843,11.66671013,2.62356907,153.9704158,44.27306968,3.04560784,49.7294894,4,29.8315053,0,65.201723,2,4,0,36.308691,0,0,Democracy,0.25511616,2.570350649,51.19662896,0
USA,North America,2021-07,0.872320637,1.667204193,6.916710029,9.905236506,83.67876352,65.68012822,2.842276042,6.123551112,1,40.82873086,0,43.42243119,0,7,0,17.58935782,0,0,Democracy,0.369462345,-1.750157646,40.8536393,0
USA,North America,2021-08,0.741963017,1.779166653,13.38329313,4.871115244,127.3869381,28.05308263,3.340922199,37.83966233,2,33.29751442,0,22.3934214,3,6,2021,41.58054541,0,0,Democracy,0.993273674,3.219720146,57.22069142,0
USA,North America,2021-09,1.516233323,-1.202861288,7.562292405,5.43048206,123.0073908,60.28877668,3.711614878,11.8839477,1,49.34716947,0,63.65225771,2,10,2018,18.84997579,0,0,Authoritarian,0.935947531,1.392271129,32.75008443,0
USA,North America,2021-10,-0.563258611,1.210274862,18.69628896,8.13923716,167.6476809,54.55204642,2.805329738,75.49182444,0,154.4058927,0,49.84382416,12,8,2018,8.413849765,0,0,Hybrid,-0.743908322,11.8889046,107.700719,1
USA,North America,2021-11,-1.101251905,-0.44649722,8.438366375,3.763898027,84.14777827,46.16934352,3.057474003,17.07006225,4,25.02858203,0,51.27445061,6,12,2018,46.43925802,0,0,Democracy,-0.446244704,5.452780513,94.15107775,1
USA,North America,2021-12,0.6141667,1.174844909,9.78753855,3.207684659,82.12022345,77.33748535,4.644967714,33.77409901,5,154.0218876,0,68.72505508,1,8,0,38.18323427,1,0,Authoritarian,0.127930184,1.942073663,51.46171226,0
USA,North America,2022-01,-1.560505914,3.489734477,7.033447315,5.222994447,114.844026,4.440991644,3.797484204,43.63010151,5,48.94513324,0,66.98824628,14,13,2018,30.72257103,0,0,Democracy,0.538985866,14.9028224,117.6502551,1
USA,North America,2022-02,-0.564557003,-1.417425186,0.989766382,7.070970663,189.5944356,17.7798878,2.851448595,29.81349656,1,289.6409788,0,33.11248005,5,12,2022,5.121990474,0,0,Hybrid,-0.053667598,8.967984255,72.47885972,0
USA,North America,2022-03,1.28840634,3.354547826,8.322583026,8.575210407,137.0990409,47.10951829,3.668100952,35.26980851,5,113.8300271,0,71.96991351,0,13,2018,34.93387493,1,0,Authoritarian,-0.282339032,1.392702253,34.21897283,0
